. ,FLAG_NM,CRTFC_NO_CN,AREA_NM,SAFE_CNSDR_ACT_AT,FULL_AGE9_12_TRGET_NMPR_CN,FULL_AGE13_15_TRGET_NMPR_CN,FULL_AGE16_18_TRGET_NMPR_CN,FULL_AGE19_24_TRGET_NMPR_CN,TRGET_AGE_ETC_NMPR_CN,TOT_TRGET_NMPR_CN,PROGRM_NM,INSTT_NM,VALID_PD_BEGIN_DE,VALID_PD_END_DE,OPER_STATE_NM,ADDR
4094,활동,0179A05F-06197,제주특별자치도,N,10명,5명,0명,0명,0명,15명,제주문화 미술로 잇다! (제밋다),제주시청소년수련관,20161130,20210402,종료,제주특별자치도 제주시 사라봉동길 21-1 (건입동) 제주시청소년수련관
4095,활동,1016B07F-08366,충청남도,N,0명,7명,8명,0명,0명,15명,청소년자기계발프로그램-땡큐포,홍성군청소년수련관,20190403,20210402,종료,충청남도 홍성군 홍성읍 문화로33번길 33 홍성군청소년수련관
4096,활동,0760A01B-08435,전라남도,N,0명,15명,0명,0명,0명,15명,"너와나의 안전""배틀save""",나주시청소년수련관,20190403,20210402,종료,전라남도 나주시 죽림길 34 (죽림동) (죽림동 60-172)
4097,활동,3612D07B-08428,서울특별시,N,0명,210명,0명,0명,0명,210명,세로토닌드럼클럽 모듬북캠프,사단법인 세로토닌문화,20190403,20210402,종료,서울특별시 은평구 연서로48길 50-16 (진관동) 1층
4098,활동,1676B08F-09172,대구광역시,N,0명,3명,5명,2명,0명,10명,너의 진로에 날개를 달다,(재)대구광역시북구청소년회관,20200401,20210331,종료,대구 북구 산격동 120번지 (재)대구광역시북구청소년회관
4099,활동,0776A02F-09208,강원도,N,5명,0명,0명,0명,5명,10명,별 헤는 밤에,삼척시청소년수련관,20200401,20210331,종료,강원 삼척시 성남동 174-1번지
4100,활동,2382E04F-09235,경기도,Y,0명,15명,15명,10명,0명,40명,산울림 기본교육 + 예비탐험 + 정식탐험,부천시산울림청소년수련관,20200401,20210331,종료,경기도 부천시 역곡로 149-65 (춘의동) 산울림청소년수련관
4101,활동,0364B05A-09193,경기도,N,10명,0명,0명,0명,0명,10명,문화예술체험 '토탈공예',당동청소년문화의집,20200401,20210331,종료,경기도 군포시 당산로 76 (당동) 당동청소년문화의집
4102,개별,1590G04A-MD0352,경기도,N,50명,0명,0명,0명,0명,50명,집라인,농업회사법인 (주)자연나라청소년수련원,20190821,20210320,종료,경기 이천시 마장면 오천리 185번지
4103,활동,4925F02B-07290,서울특별시,N,0명,240명,0명,0명,0명,240명,창의융합 소프트웨어(코딩)캠프,서울융합교육체험캠프,20180316,20210316,종료,서울특별시 송파구 풍성로14길 56 (풍납동) 서울창의마을 풍납캠프
4104,활동,0793D04B-01332,경상남도,N,0명,300명,0명,0명,0명,300명,"자기성장 극기캠프 ""무한 도전""",합천종합야영수련원,20110310,20210309,종료,경남 합천군 야로면 하빈리 3번지
4105,활동,4865F07C-07169,경상북도,N,0명,0명,130명,0명,0명,130명,화랑국선되기(1박2일 고등학교),(재)청도우리정신문화재단,20180308,20210308,종료,경상북도 청도군 운문면 방지7길 1 청도신화랑풍류마을 2층 청도우리정신문화재단
4106,활동,2592A07A-06418,경기도,N,100명,0명,0명,0명,0명,100명,자연을 벗 삼는 우리들의 즐거운 배움터,주식회사 신한스쿨 여행,20170308,20210307,종료,경기도 용인시 처인구 원삼면 보개원삼로2075번길 6 주식회사 신한스쿨여행
4107,활동,0707D09E-06388,경기도,N,0명,0명,0명,0명,40명,40명,"경기도청소년야영장 부자녀캠프 ""자연과 함께 아빠와 함께""",경기도청소년야영장,20170308,20210307,종료,경기 광주시 퇴촌면 우산리 388-3
4108,활동,0707D09E-06387,경기도,N,0명,0명,0명,0명,300명,300명,"경기도청소년야영장 가족 야영대회 ""계절 따라 모꼬지 캠프""",경기도청소년야영장,20170308,20210307,종료,경기 광주시 퇴촌면 우산리 388-3
4109,활동,4375A08B-06361,전라남도,N,0명,20명,0명,0명,0명,20명,애니매이션,장성군청소년수련관,20170308,20210307,종료,전라남도 장성군 장성읍 문화로 110 장성군청소년수련관
4110,활동,0597D04B-06380,경기도,N,0명,300명,0명,0명,0명,300명,2박 3일 수련활동 중마고우(중학생들이 모여 죽마고우가 되자) B형,(주)미리내,20170308,20210307,종료,경기 양평군 지평면 월산저수지길21
4111,활동,0984A01A-06432,충청남도,N,14명,0명,0명,0명,0명,14명,상반기 토요체험(성장 뉴스포츠),당진청소년문화의집,20170308,20210307,종료,충청남도 당진시 읍내동 38 당진청소년문화의집
4112,활동,0984A07A-06433,충청남도,N,16명,0명,0명,0명,0명,16명,상반기 토요체험(창의쑥쑥 보드게임),당진청소년문화의집,20170308,20210307,종료,충청남도 당진시 읍내동 38 당진청소년문화의집
4113,활동,0707A07C-06389,경기도,N,0명,0명,150명,0명,0명,150명,"도전의 추억 (당일, 고등학교)",경기도청소년야영장,20170308,20210307,종료,경기 광주시 퇴촌면 우산리 388-3
4114,활동,0299D03F-06374,강원도,N,0명,100명,200명,0명,0명,300명,"강원도청소년참여기구연수 ""청기올려""",강원도청소년활동진흥센터,20170308,20210307,종료,강원도 원주시 중앙로 89 (중앙동) 시민복지센터 4층 강원도청소년활동진흥센터
4115,활동,4236D07A-06424,전라남도,N,207명,0명,0명,0명,0명,207명,나도한석봉(초등학교1박2일),사단법인청우인재육성회,20170308,20210307,종료,전라남도 영암군 군서면 마한로 331 2층
4116,활동,1676A08F-06412,대구광역시,N,0명,10명,10명,0명,0명,20명,미래 마술사와 함께 하는 Magic School,(재)대구광역시북구청소년회관,20170308,20210307,종료,대구 북구 산격동 120번지 (재)대구광역시북구청소년회관
4117,활동,1676A08F-06410,대구광역시,N,0명,15명,15명,0명,0명,30명,"너도,뷰티아티스트",(재)대구광역시북구청소년회관,20170308,20210307,종료,대구 북구 산격동 120번지 (재)대구광역시북구청소년회관
4118,활동,1676A07F-06411,대구광역시,N,0명,10명,10명,0명,0명,20명,모바일에 담는 청소년 세상,(재)대구광역시북구청소년회관,20170308,20210307,종료,대구 북구 산격동 120번지 (재)대구광역시북구청소년회관
4119,활동,0952D01C-06365,강원도,N,0명,0명,460명,0명,0명,460명,"미리별! 나리찬 캠프 C (2박 3일, 고등학교)",(주)미리내캠프,20170308,20210307,종료,강원 인제군 북면 용대리 1528-12 내설악 미리내 캠프
4120,활동,4375A05B-06360,전라남도,N,0명,20명,0명,0명,0명,20명,"세풍-day1(당일, 중학생)",장성군청소년수련관,20170308,20210307,종료,전라남도 장성군 장성읍 문화로 110 장성군청소년수련관
4121,활동,0597D04C-06354,경기도,N,0명,0명,400명,0명,0명,400명,"""너나우리""(너 그리고 나와 우리) (2박3일 고등학교) C형",(주)미리내,20170308,20210307,종료,경기 양평군 지평면 월산저수지길21
4122,활동,0597D08C-06384,경기도,N,0명,0명,400명,0명,0명,400명,고등학교 2박 3일 진로수련활동 꿈꾸는날,(주)미리내,20170308,20210307,종료,경기 양평군 지평면 월산저수지길21
4123,활동,0989A08C-06396,경기도,N,0명,0명,20명,0명,0명,20명,자라나라 광고광고,수원청소년문화센터,20170308,20210307,종료,경기도 수원시 팔달구 권광로 293 (인계동) 수원청소년문화센터
4124,활동,0632A08A-06445,강원도,N,10명,0명,0명,0명,0명,10명,잡(Job)다(多)한 요리,도계청소년장학센터,20170308,20210307,종료,강원도 삼척시 도계읍 도계로 254 3층
4125,활동,0946D07B-06385,경기도,N,0명,310명,0명,0명,0명,310명,오늘은 休요일(1박2일 중학교),경기도청소년수련원,20170308,20210307,종료,경기도 안산시 단원구 선감로 255 (선감동) 경기도청소년수련원
4126,활동,0597D04C-06379,경기도,N,0명,0명,300명,0명,0명,300명,"""너나우리""(너 그리고 나와 우리) (2박3일 고등학교) B형",(주)미리내,20170308,20210307,종료,경기 양평군 지평면 월산저수지길21
4127,활동,0494A01B-06420,울산광역시,N,0명,20명,0명,0명,0명,20명,청소년안전체험활동R.YOUTH119,울산동구청소년문화의집,20170308,20210307,종료,울산광역시 동구 봉수로 155 (화정동) 동구청소년문화의집
4128,활동,0597D04C-06353,경기도,N,0명,0명,200명,0명,0명,200명,"""너나우리""(너 그리고 나와 우리) (2박3일 고등학교) A형",(주)미리내,20170308,20210307,종료,경기 양평군 지평면 월산저수지길21
4129,활동,0597D08C-06382,경기도,N,0명,0명,500명,0명,0명,500명,Dream Up(드림 업) 고등학교 2박 3일 진로준비활동,(주)미리내,20170308,20210307,종료,경기 양평군 지평면 월산저수지길21
4130,활동,0650A08F-06421,인천광역시,N,0명,5명,5명,0명,0명,10명,다섯손가락으로 만들어내는 아름다운 이야기,연희청소년센터,20170308,20210307,종료,인천광역시 서구 승학로 264 (심곡동) 연희청소년센터
4131,활동,0597D04B-06355,경기도,N,0명,200명,0명,0명,0명,200명,2박 3일 수련활동 중마고우(중학생들이 모여 죽마고우가 되자) A형,(주)미리내,20170308,20210307,종료,경기 양평군 지평면 월산저수지길21
